# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
21aceo SNIFS 0.06280011844286712 3.520815663067556e-05 1.1268750988530085e-05 1.9160360493509634 n
21aip SNIFS 0.029708141720976834 7.3212899603380954e-06 1.2704588938164396e-06 4.236403969175229 s
21low SNIFS 0.021933290533417287 4.75956267353278e-07 1.0520524923302715e-05 3.7865980836028674 s
22B SNIFS 0.04975834893608718 6.373934780534718e-07 7.573529506497978e-06 1.5711063476635885 s
21lny SNIFS 0.09510348953030158 8.622516624895438e-06 7.34139094363262e-07 4.386148507667663 s
19bky SNIFS 0.09647664480810317 1.0246505077193824e-05 1.411025235056873e-05 2.1869085143562876 n
21vt SNIFS 0.08979447005693343 8.856536139745241e-07 5.35878936822054e-06 3.873631507183055 s
19huq SNIFS 0.08339758739574718 2.7059863008493945e-05 3.2303547027670576e-05 1.9875172491837623 n
21ixf SNIFS 0.04137081290646493 1.0432127306586603e-06 4.97849195986444e-07 4.376874696761117 s
21mab SNIFS 0.018926556047822136 9.786562223761813e-06 1.5728934187747567e-07 3.9284952037206042 s
21qqo SNIFS 0.023946104176691956 1.1874035881952183e-05 4.269888993574389e-06 2.8889270989278546 s
20oil SNIFS 0.04046172630905721 9.596528922593134e-05 3.1062624427466434e-05 2.3808137062370647 s
21wlw SNIFS 0.06564131279510536 5.121721976197868e-06 9.715656463474276e-06 2.1611281067533747 s
21hwq SNIFS 0.0794409319681661 4.557587407888475e-07 8.498273689858116e-06 4.354138042683634 s
21acaz SNIFS 0.05801595088112991 9.81335115196602e-07 6.169162058429489e-06 3.6036253477889058 s
19amo SNIFS 0.05533294129131735 8.338414941091998e-07 9.878196618351431e-06 5.283653877616869 s
21jwq SNIFS 0.05091845960784143 5.2152323683635204e-06 4.570879782520021e-07 3.796993885663527 s
19gbh SNIFS 0.09571912011117163 1.7983805862542557e-07 8.167792289848208e-06 3.3767478709986825 s
21abza SNIFS 0.0344900308644551 3.7630519136161444e-07 8.65486851520103e-06 4.015385682378725 s
21abpg SNIFS 0.07242272779553907 2.3214021068321267e-05 4.327418508416614e-05 3.149785458689354 n
21kax SNIFS 0.07255113796810607 1.7737438813558715e-06 5.03281048891413e-06 4.247730784740036 s
21hwk SNIFS 0.04111622062408591 4.858762603504596e-06 6.715498290489619e-06 4.24374656205741 s
19eok SNIFS 0.04634035063997714 2.648187473407171e-05 9.052267778891787e-06 1.9122847060739026 s
20qlr SNIFS 0.06486691421876593 7.403485249579678e-07 5.851610184820499e-06 3.57437487151609 s
21vio SNIFS 0.09251387962130915 7.3447187571018535e-06 1.8090793408587214e-06 3.9685077912366484 s
21xjs SNIFS 0.06904623452587659 6.160214836029021e-06 3.1962570095078746e-06 1.4858816875674015 w
21zqc SNIFS 0.033335374693592434 7.021410394256189e-06 5.677673648521453e-07 4.55402709931663 s
22kj SNIFS 0.03779325598086365 1.257395709643172e-05 1.2417826419738875e-05 1.901447987839504 w
21khn SNIFS 0.07802627156499216 2.3407889758797484e-05 1.3275381042524015e-05 3.720296835660055 s
22ncc SNIFS 0.05427466791084887 2.749412721034239e-07 6.8580013171878895e-06 5.571244663851794 s
21jje SNIFS 0.04948733561921573 8.58357670710519e-06 1.023428606207466e-05 3.0898476630966636 s
21zek SNIFS 0.02990600859246894 8.206657123269179e-06 0.00027433747312493456 3.107298328383762 s
21vnx SNIFS 0.04156688182792595 6.683689639713775e-06 5.392913635882124e-06 3.9364373650540374 s
21iio SNIFS 0.08612614054317996 1.5070507309589143e-06 1.739580257967277e-06 3.5884429014084582 s
21aaqc SNIFS 0.05783009359018371 2.8350162870970086e-05 2.776960963152275e-05 1.8067062288178144 w
20kqv SNIFS 0.07452292932073154 1.1895205883349913e-06 4.661075899442535e-06 4.34392031901672 s
20tug SNIFS 0.03968786417791736 9.054468059276066e-05 2.733146226945732e-05 1.943052194688505 n
21zw SNIFS 0.07778820308826472 8.821433504488385e-06 4.301980124771232e-06 3.75849938585903 w
21aaqf SNIFS 0.040935810383970817 3.4170974260658293e-06 4.219086323913046e-06 4.697520675095777 s
22aw SNIFS 0.048800606658040875 6.717868018389639e-06 1.7909732035095716e-05 2.933555257059869 s
20wob SNIFS 0.04302073974248967 2.620426131048903e-06 8.256657532124123e-06 4.7789218915302785 s
21kkj SNIFS 0.0902774018790484 1.1855353244799582e-06 4.230317296030628e-06 4.520090161094187 s
21ybw SNIFS 0.08642891598111757 2.2503854355954145e-06 5.8461581065316626e-06 3.824910100648083 s
19ibd SNIFS 0.06310654285338455 1.587636497407674e-06 4.024013173772878e-06 1.7218209033510508 w
21kld SNIFS 0.07132061365027212 5.019430849434459e-07 3.90177201121944e-06 4.314905987489681 s
21ybw SNIFS 0.08642715109464598 8.521922256685133e-06 7.465442032263125e-05 3.512165354982978 s
21xzl SNIFS 0.04529488851321723 4.207828429858562e-06 0.000462486329255031 4.046372456947941 s
20wob SNIFS 0.04301938237627976 1.6297065376369435e-06 1.2330259272601285e-05 4.36864573235662 s
19huh SNIFS 0.04072934505459788 6.605336643372706e-06 5.25102701764979e-07 3.987301314952026 s
21xoo SNIFS 0.08709596495518061 3.2590472693605488e-06 5.298914100240748e-06 3.4626191181865544 s
19hqg SNIFS 0.07761538938256175 3.623517571826884e-07 2.9368790550043933e-06 4.080297995675988 s
20mga SNIFS 0.04906832140941026 1.186602573376161e-05 1.4019400312093033e-05 2.689987605765562 w
21abpg SNIFS 0.04563953809825338 2.3482176456784964e-07 5.08211707577616e-06 3.100152907752966 s
21vkc SNIFS 0.09556004247256183 2.5084161693611495e-07 4.48596536821444e-06 4.1599098855303955 s
20tug SNIFS 0.05673287584654204 2.8228210657219033e-06 8.978083103142187e-06 4.847086504697569 s
20tug SNIFS 0.05694727711168868 3.328428955846896e-06 3.2866306755238717e-06 5.248890847896831 s
20mby SNIFS 0.05321530138161165 2.072775577288688e-07 4.220949578699618e-06 7.992383398839494 s
21pyz SNIFS 0.061413132005499846 2.776488769659635e-07 9.618231803946997e-06 4.128884674691841 s
19hyj SNIFS 0.057101176881632014 3.238593060166106e-06 2.0313153107104354e-05 4.59113202291025 s
20kru SNIFS 0.027117757018971813 1.0391413127947002e-05 4.959628910720937e-07 4.033673109549365 s
22mme SNIFS 0.08327357002029685 2.972051997340852e-06 6.873408918250945e-06 2.123106262450822 s
22nbn SNIFS 0.04514918889418029 1.8899227509153183e-06 3.988430442303237e-07 4.024645152518621 s
21zfq SNIFS 0.026323954849427376 9.231482851923545e-06 1.9289233231523095e-07 3.1024389097531873 s
22nbq SNIFS 0.07552169732227385 3.5237081318084673e-07 4.627183284811043e-06 4.163041432961454 s
19pdy SNIFS 0.06903231121005485 1.2975576817453316e-06 2.9265898174868354e-06 3.8646937842614344 s
22rho SNIFS 0.05697095855053645 1.7079587049315115e-05 3.7420071786198328e-06 109.31177429921424 w
20tdy SNIFS 0.043306314678665095 1.4783196501041984e-06 2.4692242591370372e-06 53.37247428099619 s
22udi SNIFS 0.04965319310153161 4.3616465755791367e-07 8.363222201920872e-07 63.86712736930749 s
22rmj SNIFS 0.08790152988082552 7.487290205721031e-06 1.955644923348765e-06 27.015081760898628 w
22ojn SNIFS 0.05178735240160367 8.729554961256492e-07 9.94935012474385e-07 94.50094080737307 n
19fcf SNIFS 0.05518503728617898 3.17683365842758e-07 1.0398059673219495e-06 211.72243107660623 s
20smn SNIFS 0.07096272960654135 8.42961619257343e-07 5.572556414090712e-07 69.27958744497397 s
22shv SNIFS 0.07025258973127703 3.9594553327693127e-07 1.0078506086641514e-06 581.2147214922124 s
20rgz SNIFS 0.02772109627956815 6.144167935540068e-07 1.3930005951512392e-07 147.2243967322291 s
22rnz SNIFS 0.050388035229447625 7.501594495099018e-07 1.098018194339856e-06 71.06219567071211 w
21iqt SNIFS 0.0575778725036584 3.476820182604645e-06 3.485028506743093e-06 385.7529315875779 s
20mga SNIFS 0.07299123949309774 3.87004545802927e-06 5.1547215457747875e-06 54.06262484657213 n
22rvz SNIFS 0.06087752513989543 4.835187320008372e-06 1.719357322392534e-05 2.50253798126206 s
20xcz SNIFS 0.056755429672646726 8.22551099135399e-06 9.789905124554799e-07 1.7259932391261779 n
19iev SNIFS 0.07984341616777031 4.144501429746705e-05 3.594589477000365e-05 1.4173728353883968 w
21ify SNIFS 0.06087752513989543 4.835187320008372e-06 1.719357322392534e-05 2.50253798126206 s
23gwx SNIFS 0.0783035982484934 9.759600844330696e-06 6.7824954780026925e-06 139.34084633367843 w
21abjj SNIFS 0.02415713304430339 1.9334476453899963e-05 2.4557521877462823e-05 89.08350313856725 w
21fyw SNIFS 0.11060118752840199 7.945504808259951e-07 9.732653720909146e-06 3.181738297506735 s
20jkv SNIFS 0.0942467214263242 1.3766833855954896e-06 3.938197653541309e-07 316.85444414220035 s
20lgv SNIFS 0.05175750554436438 5.482629913539094e-07 5.233874577258157e-06 4.695949996054376 s
19ihl SNIFS 0.08435324765839015 8.235151776780913e-06 6.685356512256546e-06 394.56841460145563 n
22rvb SNIFS 0.07275825923000225 4.441722760234468e-06 6.829145413791982e-06 435.53230727892344 n
21blo SNIFS 0.019236780104347134 2.600613254938322e-06 1.2004842299129237e-06 98.77055886045181 s
22mnx SNIFS 0.07982220268453383 1.3266453505050846e-06 6.410543829923898e-06 3.633727410915596 s
20vbc SNIFS 0.08467718596267369 4.264952571803038e-07 3.164565639812711e-07 133.73100572222913 s
22qye SNIFS 0.04334161615235741 1.5136413711314134e-06 3.943464135514052e-06 3.1229890354223815 s
22uax SNIFS 0.04005530364280409 7.27389784926924e-06 1.0367268632294202e-05 3.0345829210669524 s
19aik SNIFS 0.023170268747443174 5.109691661588783e-06 6.495394924491138e-07 3.1581672198341777 s
19buq SNIFS 0.0391170480716686 3.3077998138411613e-06 2.4544158867892407e-06 169.67394300495837 s
20smn SNIFS 0.07113766562191053 7.735230528466142e-07 4.042035500181895e-06 121.15079952572674 s
20mby SNIFS 0.052842837705411386 1.1521676695352978e-06 1.6313244788346282e-07 176.7341654425632 s
20jwl SNIFS 0.05697864953595536 4.184583514020568e-05 1.905737090509424e-05 3.8295849051547837 s
19hyj SNIFS 0.016592289169747743 3.9639126234305294e-05 -1.0 113.50160278601274 w
19hyj SNIFS 0.05682661912240192 3.468942265855146e-06 9.39437928716702e-06 48.52753956626171 s
20ust SNIFS 0.0746452175272362 2.027936734372293e-06 8.408011954175176e-07 106.8479292343658 s
20vav SNIFS 0.05554608194173995 5.604486426384614e-06 3.0144971457507497e-06 438.69957539073386 s
19one SNIFS 0.0763825624008605 1.6549626470352408e-06 8.127066772750657e-07 133.13003913001862 s
19yaj SNIFS 0.07507136323852283 9.055093990267826e-06 1.4939951194004042e-05 553.3140818351272 s
19ygj SNIFS 0.05901514843515653 1.0648263768092692e-06 1.2940771401404039e-06 105.28452616822749 n
20unl SNIFS 0.04163640153035003 1.2408453388401686e-07 4.4092025596603746e-07 95.1126593671807 s
